id;location_name;street;city;state;zipcode;lat_long
1;Secured Program;Octavia Station;Ritchieberg;Ghana Pants multi-byte;back-end Plastic International;Wisconsin Chief Sports
2;cross-platform;Hayes Skyway;Gerholdfort;tangible Savings parse;Rustic;compressing
3;Savings leading-edge SCSI;Doyle Crossroad;Maggiechester;up Licensed Forward;Accounts Venezuela Plastic;transmitting
4;open-source e-services;Kristina Summit;East Angelo;RAM compelling;Austria;Generic
5;Soft impactful Pataca;Asia Hollow;Rathfurt;Bedfordshire Technician;pixel auxiliary Korea;vertical Key Forward
6;connect Toys Assurance;Dooley Creek;West Herbertshire;bandwidth blue drive;wireless payment Nigeria;Fresh Market
7;Granite Designer;Weissnat Gardens;Kokomo;viral Investment haptic;viral approach foreground;Automotive seamless Accounts
8;architect Keyboard;Jess Manors;Parker;payment orchid Bike;iterate Hollow Manager;Bedfordshire
9;parsing Salad;Waters Cove;Carolburgh;Dong Investment navigate;leading;explicit
10;input;Lakin Park;Moorestad;Ball Intelligent;azure tolerance ADP;homogeneous compelling Technician
